tract,state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
001040100,de,-75.69475,39.23729,3358,12,24,12,100
001040201,de,-75.63778,39.29073,2371,11,22,11,100
001040203,de,-75.55363,39.29117,1959,12,23,11,91.7
001040204,de,-75.61777,39.28285,2535,11,22,11,100
001040205,de,-75.60051,39.27628,1827,11,23,12,109.1
001040206,de,-75.61556,39.25028,5321,12,23,11,91.7
001040501,de,-75.54391,39.19959,1605,10,20,10,100
001040502,de,-75.53012,39.21823,1136,11,21,10,90.9
001040700,de,-75.56394,39.17455,1870,10,20,10,100
001040900,de,-75.52466,39.16912,565,10,20,10,100
001041000,de,-75.47701,39.16334,2173,8,17,9,112.5
001041101,de,-75.48572,39.11685,8,8,17,9,112.5
001041200,de,-75.50667,39.13386,1352,8,18,10,125
001041300,de,-75.52022,39.15315,869,10,20,10,100
001041400,de,-75.54358,39.1474,1710,10,21,11,110
001041500,de,-75.53765,39.13246,1311,11,22,11,100
001041600,de,-75.52555,39.12416,959,11,22,11,100
001041701,de,-75.5592,39.10619,2805,11,23,12,109.1
001041702,de,-75.52304,39.10754,1800,11,22,11,100
001041802,de,-75.59927,39.13562,2419,11,22,11,100
001041803,de,-75.59506,39.20935,2913,11,22,11,100
001041804,de,-75.60887,39.17204,2956,10,21,11,110
001041900,de,-75.70162,39.143,2524,13,25,12,92.3
001042000,de,-75.6752,39.06034,1594,14,26,12,85.7
001042100,de,-75.59616,39.07298,2079,12,24,12,100
001042203,de,-75.49133,39.09426,2267,8,18,10,125
001042204,de,-75.5219,39.07661,2030,12,23,11,91.7
001042205,de,-75.54407,39.06191,1644,12,24,12,100
001042206,de,-75.52845,39.03345,1413,12,24,12,100
001042207,de,-75.48081,39.06787,1159,9,19,10,111.1
001042208,de,-75.48309,39.03953,1217,9,20,11,122.2
001042500,de,-75.41993,38.92602,1280,12,24,12,100
001042801,de,-75.66693,38.98657,1136,14,26,12,85.7
001042802,de,-75.56156,38.9934,3328,12,24,12,100
001042900,de,-75.52902,38.90136,2789,12,24,12,100
001043000,de,-75.57777,38.92044,2609,12,24,12,100
001043100,de,-75.66335,38.89067,1679,14,26,12,85.7
001043202,de,-75.42984,39.14549,3164,9,20,11,122.2
001043300,de,-75.54674,39.18083,1371,10,20,10,100
001043400,de,-75.4723,38.96791,4071,11,22,11,100
001980000,de,-75.46633,39.12103,17,8,18,10,125
003000200,de,-75.52817,39.76456,1965,13,24,11,84.6
003000300,de,-75.53917,39.76088,1252,13,24,11,84.6
003000400,de,-75.54794,39.75884,950,13,24,11,84.6
003000500,de,-75.54006,39.7545,1344,13,24,11,84.6
003000601,de,-75.52898,39.75272,1126,13,24,11,84.6
003000602,de,-75.53683,39.74974,1341,13,24,11,84.6
003000900,de,-75.54137,39.74519,1135,13,24,11,84.6
003001100,de,-75.55745,39.75594,589,12,23,11,91.7
003001200,de,-75.56319,39.7587,847,12,22,10,83.3
003001300,de,-75.56939,39.76312,1459,12,22,10,83.3
003001400,de,-75.56646,39.752,953,12,22,10,83.3
003001500,de,-75.55995,39.74973,620,12,22,10,83.3
003001600,de,-75.55502,39.74689,865,13,24,11,84.6
003001902,de,-75.53264,39.71884,1019,12,23,11,91.7
003002100,de,-75.55733,39.74243,585,13,23,10,76.9
003002200,de,-75.56337,39.74475,1028,12,22,10,83.3
003002300,de,-75.56972,39.74733,1171,12,22,10,83.3
003002400,de,-75.57981,39.75017,1650,12,22,10,83.3
003002500,de,-75.57479,39.74145,1209,12,22,10,83.3
003002600,de,-75.56669,39.73976,1475,12,22,10,83.3
003002700,de,-75.5633,39.73405,1021,12,22,10,83.3
003002800,de,-75.54981,39.74627,893,13,24,11,84.6
003002900,de,-75.53868,39.73702,939,13,24,11,84.6
003003002,de,-75.52813,39.74519,634,13,24,11,84.6
003010104,de,-75.44859,39.79797,763,15,26,11,73.3
003010105,de,-75.45225,39.81279,612,15,26,11,73.3
003010106,de,-75.45682,39.819,51,14,25,11,78.6
003010200,de,-75.46825,39.80876,773,15,26,11,73.3
003010300,de,-75.46755,39.80244,1659,15,26,11,73.3
003010400,de,-75.48025,39.79322,1600,13,24,11,84.6
003010502,de,-75.48688,39.76952,1842,14,25,11,78.6
003010703,de,-75.50421,39.76066,692,14,25,11,78.6
003010704,de,-75.50738,39.7524,825,13,25,12,92.3
003010800,de,-75.52593,39.77625,1611,12,22,10,83.3
003010900,de,-75.51264,39.78798,1184,13,23,10,76.9
003011000,de,-75.49737,39.78493,1358,13,24,11,84.6
003011100,de,-75.49054,39.80543,1197,13,24,11,84.6
003011201,de,-75.54134,39.81836,630,10,19,9,90
003011202,de,-75.52117,39.83217,1240,11,20,9,81.8
003011203,de,-75.48261,39.82566,1213,12,22,10,83.3
003011204,de,-75.48633,39.81761,1183,13,23,10,76.9
003011205,de,-75.51386,39.82327,742,11,20,9,81.8
003011206,de,-75.52499,39.81748,1621,10,19,9,90
003011300,de,-75.50526,39.81007,859,13,24,11,84.6
003011400,de,-75.52175,39.80187,1302,12,22,10,83.3
003011500,de,-75.54147,39.80191,1271,10,20,10,100
003011600,de,-75.53858,39.78953,1337,10,20,10,100
003011700,de,-75.55979,39.80235,1590,10,20,10,100
003011800,de,-75.61212,39.80934,1646,9,18,9,100
003011900,de,-75.61411,39.77435,1432,11,21,10,90.9
003012000,de,-75.62797,39.73988,1837,11,21,10,90.9
