geoid (zcta),state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
01001,ma,-72.62588,42.06258,5355,6,13,7,116.7
01002,ma,-72.4621,42.37492,7060,2,7,5,250
01003,ma,-72.52476,42.39191,11,3,9,6,200
01005,ma,-72.10616,42.42018,3001,1,3,2,200
01007,ma,-72.40037,42.27875,6492,2,6,4,200
01008,ma,-72.952,42.18428,1179,1,2,1,100
01009,ma,-72.33974,42.20967,354,2,6,4,200
01010,ma,-72.20621,42.12863,2329,1,4,3,300
01011,ma,-72.9597,42.29654,1109,1,3,2,200
01012,ma,-72.84636,42.38701,495,0,2,2,NA
01013,ma,-72.60824,42.15955,6731,5,12,7,140
01020,ma,-72.56535,42.17635,10001,4,11,7,175
01022,ma,-72.5427,42.1973,96,4,10,6,150
01026,ma,-72.92027,42.46333,928,0,2,2,NA
01027,ma,-72.74312,42.29507,7137,3,8,5,166.7
01028,ma,-72.49905,42.05977,6601,4,10,6,150
01029,ma,-73.04836,42.19633,1952,0,1,1,NA
01030,ma,-72.67996,42.06898,4488,5,11,6,120
01031,ma,-72.19815,42.32938,583,1,3,2,200
01032,ma,-72.813,42.45042,629,0,2,2,NA
01033,ma,-72.50362,42.26082,3188,3,8,5,166.7
01034,ma,-72.95767,42.0848,2051,1,3,2,200
01035,ma,-72.56922,42.35565,3055,3,9,6,200
01036,ma,-72.41585,42.06372,2316,2,6,4,200
01037,ma,-72.19772,42.37009,484,1,3,2,200
01038,ma,-72.60694,42.38549,1640,4,10,6,150
01039,ma,-72.69364,42.40627,741,3,8,5,166.7
01040,ma,-72.64106,42.21258,10122,4,11,7,175
01050,ma,-72.86985,42.28786,1740,1,4,3,300
01053,ma,-72.71162,42.35349,598,3,9,6,200
01054,ma,-72.48747,42.47361,1219,1,5,4,400
01056,ma,-72.45805,42.19211,8515,3,9,6,200
01057,ma,-72.3243,42.09165,4046,1,4,3,300
01060,ma,-72.63128,42.32226,5047,4,10,6,150
01062,ma,-72.69278,42.32189,4988,4,10,6,150
01063,ma,-72.63853,42.31888,26,4,10,6,150
01066,ma,-72.65477,42.40763,53,3,9,6,200
01068,ma,-72.04606,42.35003,1027,1,2,1,100
01069,ma,-72.30554,42.18807,4122,2,5,3,150
01070,ma,-72.9239,42.51853,672,0,1,1,NA
01071,ma,-72.85996,42.16034,772,2,5,3,150
01072,ma,-72.41841,42.45736,1129,1,3,2,200
01073,ma,-72.73857,42.23083,3012,4,10,6,150
01074,ma,-72.09427,42.38661,109,1,2,1,100
01075,ma,-72.57921,42.25674,6523,4,10,6,150
01077,ma,-72.77856,42.05441,4239,3,9,6,200
01079,ma,-72.33014,42.19435,277,2,6,4,200
01080,ma,-72.36556,42.18201,886,2,6,4,200
01081,ma,-72.23097,42.06229,1123,1,3,2,200
01082,ma,-72.27777,42.2948,4944,1,4,3,300
01083,ma,-72.19493,42.20378,1470,1,3,2,200
01084,ma,-72.88089,42.39039,197,1,3,2,200
01085,ma,-72.76959,42.15371,13727,4,11,7,175
01088,ma,-72.64775,42.3901,411,4,10,6,150
01089,ma,-72.65025,42.12534,9035,5,13,8,160
01092,ma,-72.2373,42.19974,673,1,4,3,300
01093,ma,-72.65304,42.43438,250,3,9,6,200
01094,ma,-72.1384,42.35952,162,1,3,2,200
01095,ma,-72.42993,42.12764,5744,2,7,5,250
01096,ma,-72.7682,42.40418,1439,1,3,2,200
01097,ma,-72.83131,42.17604,85,3,8,5,166.7
01098,ma,-72.94241,42.39461,865,1,2,1,100
01103,ma,-72.59198,42.10401,348,5,12,7,140
01104,ma,-72.56684,42.13402,7088,5,12,7,140
01105,ma,-72.57893,42.09917,1929,5,12,7,140
01106,ma,-72.57181,42.04798,5889,4,11,7,175
01107,ma,-72.60551,42.12132,2043,6,13,7,116.7
01108,ma,-72.55986,42.08054,6178,4,11,7,175
01109,ma,-72.54883,42.1184,8269,5,11,6,120
01118,ma,-72.52531,42.09479,5475,4,10,6,150
01119,ma,-72.51125,42.12455,4563,4,10,6,150
01128,ma,-72.48812,42.09485,1186,4,10,6,150
01129,ma,-72.48771,42.12103,2788,4,10,6,150
01151,ma,-72.50881,42.15294,2596,4,10,6,150
01201,ma,-73.27646,42.44994,19005,1,2,1,100
01220,ma,-73.11719,42.62374,3807,0,2,2,NA
01222,ma,-73.32084,42.05902,484,2,5,3,150
01223,ma,-73.09945,42.31172,4756,0,2,2,NA
01224,ma,-73.19751,42.50653,107,1,2,1,100
01225,ma,-73.15483,42.56267,1662,0,1,1,NA
01226,ma,-73.13986,42.48167,2821,0,1,1,NA
01229,ma,-73.33203,42.27793,74,1,3,2,200
01230,ma,-73.34379,42.18476,6096,1,4,3,300
01235,ma,-73.07241,42.42976,2260,0,1,1,NA
01236,ma,-73.37665,42.26647,887,1,4,3,300
01237,ma,-73.26263,42.54972,1809,0,2,2,NA
01238,ma,-73.22889,42.29524,3298,1,2,1,100
01240,ma,-73.27645,42.37211,2200,1,2,1,100
01242,ma,-73.24922,42.33333,229,1,2,1,100
01243,ma,-73.02326,42.35146,435,1,2,1,100
01244,ma,-73.26273,42.11609,126,1,3,2,200
01245,ma,-73.21886,42.18822,1345,0,2,2,NA
01247,ma,-73.07998,42.69548,6755,1,2,1,100
