fips,name,count_property,pct_major,pct_severe,number_major,number_severe
01,Alabama,3019293,1.8,0.4,53726,10597
05,Arkansas,1923555,0.2,0,3849,328
04,Arizona,3225720,30.9,13.1,998239,421933
06,California,11341378,22.5,9.8,2554777,1115270
08,Colorado,2491600,7.1,1.8,177077,46081
09,Connecticut,1152145,0,0,0,0
11,District of Columbia,136504,0,0,0,0
10,Delaware,423014,0,0,0,0
12,Florida,8975269,17.2,6.6,1540413,594076
13,Georgia,4413819,0,0,1647,6
19,Iowa,2426958,0,0,172,106
16,Idaho,1036902,18.9,8.6,196014,88741
17,Illinois,5242373,0,0,0,0
18,Indiana,3512171,0.2,0,6242,2
20,Kansas,1633511,5,1.4,81307,23245
21,Kentucky,2029274,0,0,1007,48
22,Louisiana,2365207,1,0.1,23783,3119
25,Massachusetts,2182306,0,0,0,0
24,Maryland,2192495,0.4,0.1,8437,1679
23,Maine,687473,0,0,0,0
26,Michigan,4635750,0,0,421,0
27,Minnesota,2964693,0.7,0.2,19929,5666
29,Missouri,3191486,0.5,0,15185,587
28,Mississippi,1904478,6.4,1.7,121367,33125
30,Montana,894028,18.7,5.4,167040,48703
37,North Carolina,5451276,1.8,0.3,96774,18837
38,North Dakota,678991,5,1.5,33737,10067
31,Nebraska,1138165,4.4,1,50149,11192
33,New Hampshire,580655,0,0,0,0
34,New Jersey,3449513,5,2.9,171568,101323
35,New Mexico,1495384,27.4,12.8,409537,190749
32,Nevada,1209299,26,18.2,314201,220548
36,New York,5376590,0,0,1721,0
39,Ohio,6061929,0,0,0,0
40,Oklahoma,2215744,20.4,6,451928,132915
41,Oregon,1807309,3.9,1,70680,18816
42,Pennsylvania,5726704,0,0,0,0
44,Rhode Island,383797,0,0,0,0
45,South Carolina,2616091,1.8,0,46292,794
46,South Dakota,666366,24.7,10.3,164702,68313
47,Tennessee,3278730,0,0,746,0
48,Texas,11957698,14.1,6.1,1686571,725353
49,Utah,1363448,31.2,17.1,425162,232617
51,Virginia,3795413,0,0,133,7
50,Vermont,312262,0,0,0,0
53,Washington,3031713,6.2,1.6,187275,47830
55,Wisconsin,3379139,0,0,47,0
54,West Virginia,1432239,0,0,402,52
56,Wyoming,339183,33.5,12.6,113570,42829
