fips,count_property,pct_major,pct_severe
01001,5355,15.65,0
01002,7060,0.07,0
01003,11,0,0
01005,3001,0,0
01007,6492,0,0
01008,1179,0,0
01009,354,0,0
01010,2329,0,0
01011,1109,0,0
01012,495,0,0
01013,6731,29.89,0
01020,10001,6.26,0
01022,96,17.71,0
01026,928,0,0
01027,7137,0.91,0
01028,6601,1.67,0
01029,1952,0,0
01030,4488,2.79,0
01031,583,0,0
01032,629,0,0
01033,3188,0,0
01034,2051,0,0
01035,3055,0.29,0
01036,2316,0,0
01037,484,0,0
01038,1640,0.24,0
01039,741,0,0
01040,10122,15.04,0
01050,1740,0,0
01053,598,0,0
01054,1219,0,0
01056,8515,1.08,0
01057,4046,0,0
01060,5047,2.28,0
01062,4988,0,0
01063,26,0,0
01066,53,0,0
01068,1027,0,0
01069,4122,0.02,0
01070,672,0,0
01071,772,0,0
01072,1129,0,0
01073,3012,0.03,0
01074,109,0,0
01075,6523,0.92,0
01077,4239,0.8,0
01079,277,0,0
01080,886,0,0
01081,1123,0,0
01082,4944,0,0
01083,1470,0,0
01084,197,0,0
01085,13727,11.18,0
01088,411,0,0
01089,9035,19.27,0
01092,673,0,0
01093,250,0,0
01094,162,0,0
01095,5744,0.14,0
01096,1439,0,0
01097,85,0,0
01098,865,0,0
01103,348,95.11,0
01104,7088,15.28,0
01105,1929,69.98,0
01106,5889,0.82,0
01107,2043,45.23,0
01108,6178,16.77,0
01109,8269,19.83,0
01118,5475,9,0
01119,4563,4.03,0
01128,1186,0.51,0
01129,2788,3.69,0
01151,2596,3.58,0
01201,19005,0,0
01220,3807,0,0
01222,484,0,0
01223,4756,0,0
01224,107,0,0
01225,1662,0,0
01226,2821,0,0
01229,74,0,0
01230,6096,0,0
01235,2260,0,0
01236,887,0,0
01237,1809,0,0
01238,3298,0,0
01240,2200,0,0
01242,229,0,0
01243,435,0,0
01244,126,0,0
01245,1345,0,0
01247,6755,0,0
01253,1063,0,0
01254,814,0,0
01255,1312,0,0
01256,589,0,0
01257,2086,0,0
01258,548,0,0
01259,804,0,0
01260,175,0,0
01262,1067,0,0
01264,262,0,0
01266,1518,0,0
01267,3065,0,0
01270,807,0,0
01301,6891,0,0
01330,1144,0,0
01331,7006,0,0
01337,1836,0,0
01338,162,0,0
01339,1261,0,0
01340,1676,0,0
01341,1346,0,0
01342,1168,0,0
01343,79,0,0
01344,797,0,0
01346,835,0,0
01347,253,0,0
01349,739,0,0
01350,197,0,0
01351,1473,0,0
01354,868,0,0
01355,835,0,0
01360,2273,0,0
01364,3752,0,0
01366,1129,0,0
01367,777,0,0
01368,1323,0,0
01370,2484,0,0
01373,2765,0.04,0
01375,1494,0,0
01376,2175,0,0
01378,778,0,0
01379,932,0,0
01420,12501,0.02,0
01430,3978,0,0
01431,1754,0,0
01432,2714,2.65,0
01434,33,0,0
01436,1363,0,0
01438,272,0,0
01440,6679,0,0
01450,4711,0,0
01451,2366,0,0
01452,2505,0,0
01453,12743,0.19,0
01460,4292,0.65,0
01462,4683,0,0
01463,4291,0,0
01464,2479,0.08,0
01467,170,0,0
01468,2257,0,0
01469,2836,0,0
01473,3903,0,0
01474,973,0,0
01475,4934,0,0
01501,6576,0.11,0
01503,1478,1.69,0
01504,3461,27.13,0
01505,2109,0,0
01506,1560,0,0
01507,6364,0,0
01510,3995,9.06,0
01515,1384,0,0
01516,4396,0.09,0
01518,1440,0,0
01519,2440,0,0
01520,6248,0,0
01521,2429,0,0
01522,1628,0,0
01523,2917,0.21,0
01524,3048,0,0
01525,86,4.65,0
01527,5229,0.13,0
01529,1284,0,0
01531,755,0,0
01532,5464,3.62,0
01534,2125,4.24,0
01535,2330,0,0
01536,2553,0.04,0
01537,953,0,0
01540,4486,0,0
01541,1919,0,0
01542,924,0,0
01543,4185,0,0
01545,11429,0.31,0
01550,5670,0,0
01560,1193,2.6,0
01561,70,4.29,0
01562,5193,0,0
01564,3716,0,0
01566,3073,0,0
01568,3089,1.68,0
01569,5269,6.85,0
01570,6408,0,0
01571,5077,0,0
01581,5371,6.8,0
01583,2796,0,0
01585,2965,0,0
01588,3177,5.57,0
01590,4496,0.09,0
01602,6826,0.01,0
01603,4869,0.27,0
01604,8911,0.42,0
01605,5024,0.4,0
01606,6605,0.17,0
01607,2184,0.5,0
01608,332,14.76,0
01609,4058,0.1,0
01610,3313,1.33,0
01611,1117,0,0
01612,1981,0,0
01701,11069,78.52,0
01702,6530,85.44,0
01718,5,0,0
01719,1746,1.6,0
01720,6892,11.8,0
01721,4933,26.13,0
01730,4363,83.47,0
01731,7,100,0
01740,2358,0.08,0
01741,2131,8.63,0
01742,6147,76.33,0
01745,187,13.9,0
01746,5701,14.7,0
01747,2247,3.74,0
01748,5801,0.57,0
01749,5879,33.08,0
01752,10526,11.11,0
01754,3486,67.33,0
01756,2809,0.36,0
01757,8844,15.21,0
01760,11416,99.73,0.01
01770,1878,43.4,0
01772,3559,3.48,0
01773,2311,66.98,0
01775,2730,6.85,0
01776,6592,53.34,0
01778,5130,90.92,0
01801,11351,99.33,0.06
01803,7636,99.08,0.01
01810,11115,43.56,0.01
01821,10690,77.47,0
01824,8703,14.18,0.01
01826,9954,7.52,0
01827,1504,0,0
01830,7071,55.83,0
01832,5875,47.74,0
01833,3123,23.6,0
01834,2478,29.26,0
01835,4062,68.46,0
01840,681,99.71,0
01841,6833,99,0
01843,4808,99.23,0
01844,14759,55.23,0
01845,8299,36.68,0
01850,3479,72.95,0
01851,5834,87.47,0
01852,7701,73.28,0
01854,4878,63.28,0
01860,2236,13.15,0
01862,3538,50.96,0
01863,2465,8.97,0
01864,5382,73.19,0
01867,7816,99.86,0.01
01876,9333,66.02,0.01
01879,4105,0.61,0
01880,8504,99.62,0.02
01886,8043,0.44,0
01887,8999,98.81,0.06
01890,6859,94.52,0.01
01901,216,100,11.11
01902,7870,99.99,0.13
01904,6091,99.97,0.07
01905,5163,99.98,0.19
01906,9713,99.93,0.02
01907,4658,100,0.02
01908,1399,100,0
01913,5270,48.46,0
01915,11639,99.99,0.09
01921,3186,19.59,0
01922,1180,58.98,0
01923,8002,99.96,0.11
01929,2149,99.95,0
01930,13024,99.99,1.11
01937,1,100,0
01938,5375,94.14,0
01940,4483,96.21,0
01944,2368,99.83,0
01945,7985,100,0
01949,2947,72.62,0
01950,6496,97.26,0
01951,2277,97.85,0
01952,4331,81.3,0
01960,14338,99.84,0.91
01966,4005,100,0
01969,2650,80.68,0
01970,9589,100,1.79
01982,2800,99.89,0
01983,2334,94.47,0
01984,1490,100,0
01985,1908,6.81,0
02019,6111,13.22,0
02021,7039,96.51,0.1
02025,3104,99.58,0
02026,8549,100,0.12
02030,2503,93.57,0
02032,1562,100,0.06
02035,5924,43.37,0
02038,9949,11.68,0
02043,7613,93.93,0
02045,4785,99.54,0
02047,323,100,0
02048,7293,78.95,0.03
02050,12274,91.71,0
02052,4317,93.4,0
02053,4768,8.68,0
02054,3159,62.33,0
02056,3857,31.14,0
02061,4425,75.12,0
02062,8074,100,0.41
02066,7916,98.61,0
02067,6422,54.1,0
02071,348,50.29,0
02072,9401,83.79,0
02081,6830,89.94,0
02090,5151,99.98,0.35
02093,4338,19.02,0.02
02108,609,100,1.48
02109,346,100,0.29
02110,192,99.48,0
02111,450,100,12.22
02113,931,100,3.11
02114,1073,100,5.41
02115,1192,100,7.63
02116,2118,100,0.52
02118,2398,100,1.83
02119,4819,100,0.06
02120,1390,100,0.72
02121,3804,100,0
02122,4633,100,0.06
02124,9104,100,0.03
02125,5469,99.96,0.11
02126,5737,100,0.35
02127,6356,99.98,2.22
02128,6524,100,1.56
02129,3081,100,0.16
02130,6461,100,0.09
02131,6934,100,0.45
02132,9598,100,0.02
02134,2180,100,10.83
02135,5252,100,0.46
02136,6984,100,0.32
02138,4616,100,0.24
02139,3981,100,4.87
02140,2688,100,0
02141,1725,100,5.62
02142,123,100,3.25
02143,4353,100,3.81
02144,4641,100,0.04
02145,4287,100,0.3
02148,11577,100,0.48
02149,7902,100,1.91
02150,4935,100,6.5
02151,12838,99.99,0.05
02152,4595,99.96,0
02155,14842,100,0.14
02163,5,100,0
02169,12467,99.98,0.01
02170,4834,100,0.19
02171,3965,100,0.4
02176,8485,99.68,0
02180,6336,99.62,0
02184,11648,98.34,0.04
02186,8471,100,0
02188,4167,97.55,0
02189,4183,99.47,0
02190,5411,81.7,0
02191,3098,99.94,0
02199,12,100,16.67
02203,11,100,0
02210,349,100,6.3
02215,897,100,1.9
02301,14542,92.08,0.01
02302,10583,88.59,0
02322,1948,72.28,0.1
02324,8076,90.19,0
02330,4615,91.12,0
02332,6232,90.39,0
02333,6081,82.21,0
02338,3040,96.12,0
02339,5163,87.1,0
02341,4096,86.16,0
02343,4825,75.17,0
02346,9345,66.57,0
02347,5111,57.8,0
02351,5173,75.78,0
02356,4581,55.14,0
02357,8,100,0
02359,6661,94.15,0
02360,26027,85.37,0
02364,5488,98.27,0
02367,1398,91.77,0
02368,9277,97.67,0.01
02370,5279,85.05,0
02375,3447,53.7,0
02379,3149,64.72,0
02382,4719,88.85,0
02420,4967,94.77,0
02421,6369,95.23,0
02445,3495,100,0.14
