fips,name,count_property,pct_major,pct_severe,number_major,number_severe
01,Alabama,3019300,67.4,27.3,2036105,822931
05,Arkansas,1923556,7.1,0,135767,179
04,Arizona,3225763,0,0,0,0
06,California,11341383,0,0,0,0
08,Colorado,2491610,0,0,0,0
09,Connecticut,1152158,86.8,5,1000116,57976
11,District of Columbia,136539,0,0,38,0
10,Delaware,423020,100,28.4,423020,120116
12,Florida,8975279,100,100,8975279,8975279
13,Georgia,4413839,43.4,20.9,1914585,923263
19,Iowa,2426996,0,0,0,0
16,Idaho,1036925,0,0,0,0
17,Illinois,5242398,0,0,0,0
18,Indiana,3512391,0,0,0,0
20,Kansas,1633521,0,0,0,0
21,Kentucky,1996344,0,0,0,0
22,Louisiana,2365196,100,80.4,2365196,1901574
25,Massachusetts,2182311,83.5,16.7,1821668,363848
24,Maryland,2192534,41.4,3.9,908336,84836
23,Maine,687486,48.7,2.8,334977,18913
26,Michigan,4635750,0,0,0,0
27,Minnesota,2964708,0,0,0,0
29,Missouri,3191502,0,0,0,0
28,Mississippi,1904494,81.9,44.3,1558858,843656
30,Montana,894052,0,0,0,0
37,North Carolina,5451278,54.5,21.4,2968881,1169265
38,North Dakota,679023,0,0,0,0
31,Nebraska,1138191,0,0,0,0
33,New Hampshire,580665,12.8,0.2,74393,1126
34,New Jersey,3449541,83.3,13.8,2872594,474438
35,New Mexico,1495392,0,0,0,0
32,Nevada,1209308,0,0,0,0
36,New York,5376613,35.3,3.5,1899211,186994
39,Ohio,6061957,0,0,0,0
40,Oklahoma,2205733,0.1,0,2632,0
41,Oregon,1807336,0,0,0,0
42,Pennsylvania,5726734,21.7,0,1243640,0
44,Rhode Island,383802,100,28.6,383802,109795
45,South Carolina,2616091,70.4,37.9,1841625,992337
46,South Dakota,666388,0,0,0,0
47,Tennessee,3278739,0,0,1397,0
48,Texas,11957707,70.3,39.3,8408545,4703945
49,Utah,1363463,0,0,0,0
51,Virginia,3795418,34.4,17,1304144,645347
50,Vermont,312308,0,0,0,0
53,Washington,3031769,0,0,0,0
55,Wisconsin,3379146,0,0,0,0
54,West Virginia,1432244,0,0,0,0
56,Wyoming,339209,0,0,0,0
