geoid,state_abbr,population,change_perc_above_100,lon,name,count_prop,lat,days_above_100_today,days_above_100_30yrs,change_days_above_100,geometry
60617,il,84193,100,-87.55237,ZCTA5 60617,30018,41.71811,8,16,8,"list(c(-87.59829, -87.5246293997509, -87.524165, -87.5292669695115, -87.585824, -87.585164, -87.59829, 41.692368, 41.6918016948862, 41.708314, 41.7328594691148, 41.751506, 41.7208, 41.692368))"
60301,il,2890,87.5,-87.79894,ZCTA5 60301,299,41.88856,8,15,7,"list(c(-87.805097, -87.804986, -87.804977, -87.787915, -87.788046, -87.805097, 41.889743, 41.886983, 41.886701, 41.886954, 41.891657, 41.889743))"
60920,il,185,100,-88.30497,ZCTA5 60920,131,41.02926,13,26,13,"list(c(-88.28707, -88.320423, -88.28655, -88.28707, 41.03776, 41.022811, 41.02318, 41.03776))"
62863,il,9305,71.4,-87.85599,ZCTA5 62863,7696,38.41644,28,48,20,"list(c(-87.95565, -87.9877210369393, -87.950298, -87.84345, -87.831982, -87.8088901626562, -87.7535919490017, -87.7436874802689, -87.7432154402208, -87.827361, -87.864671, -87.873377, -87.930122, -87.948626, -87.963028, -87.911693, -87.908904, -87.95565, 38.32635, 38.2569149976135, 38.276792, 38.278172, 38.326973, 38.3597313118198, 38.3993514871992, 38.4143881679825, 38.4776677913682, 38.569699, 38.569875, 38.503871, 38.504032, 38.474759, 38.415342, 38.392071, 38.37916, 38.32635))"
62982,il,1111,65.5,-88.35982,ZCTA5 62982,881,37.42812,29,48,19,"list(c(-88.390216, -88.3963748693168, -88.361557, -88.3133922093058, -88.390216, 37.437907, 37.421128851144, 37.402931, 37.4398699039136, 37.437907))"
60619,il,63481,100,-87.60552,ZCTA5 60619,20440,41.74369,8,16,8,"list(c(-87.624907, -87.624759, -87.623938, -87.585164, -87.585824, -87.590428, -87.624907, 41.765514, 41.758237, 41.729042, 41.7208, 41.751506, 41.766036, 41.765514))"
60961,il,748,92.3,-88.23084,ZCTA5 60961,583,41.10654,13,25,12,"list(c(-88.313682, -88.26846, -88.210464, -88.172677, -88.164678, -88.209281, -88.26965, -88.313682, 41.112816, 41.0525, 41.053618, 41.084006, 41.130365, 41.173087, 41.11386, 41.112816))"
62966,il,14419,64.5,-89.35107,ZCTA5 62966,9902,37.77509,31,51,20,"list(c(-89.412987, -89.450558, -89.417148, -89.437673, -89.45318, -89.438631, -89.418217, -89.408179, -89.328152, -89.281954, -89.255171, -89.202765, -89.248344, -89.283884, -89.283439, -89.412987, 37.864522, 37.778706, 37.729056, 37.67338, 37.599983, 37.599959, 37.62104, 37.689055, 37.673283, 37.702274, 37.760167, 37.773586, 37.797522, 37.849575, 37.862943, 37.864522))"
60302,il,33039,87.5,-87.7897,ZCTA5 60302,7755,41.89461,8,15,7,"list(c(-87.805748, -87.805097, -87.788046, -87.787915, -87.804977, -87.804668, -87.774658, -87.775113, -87.775586, -87.785002, -87.805748, 41.908904, 41.889743, 41.891657, 41.886954, 41.886701, 41.878158, 41.880151, 41.894265, 41.908752, 41.909148, 41.908904))"
62946,il,12215,62.5,-88.53816,ZCTA5 62946,9941,37.70724,32,52,20,"list(c(-88.707126, -88.561927, -88.580735, -88.552232, -88.506243, -88.42407, -88.41165, -88.442767, -88.410537, -88.474995, -88.507308, -88.581506, -88.674826, -88.707126, 37.768331, 37.627275, 37.599364, 37.56078, 37.599722, 37.602001, 37.625555, 37.709522, 37.748163, 37.775432, 37.80927, 37.797989, 37.805029, 37.768331))"
60606,il,3298,87.5,-87.63735,ZCTA5 60606,292,41.88207,8,15,7,"list(c(-87.633965, -87.641366, -87.641027, -87.633694, -87.633754, -87.633824, -87.633895, -87.633965, 41.886985, 41.888033, 41.876752, 41.87685, 41.879386, 41.881946, 41.884469, 41.886985))"
62471,il,10067,100,-89.1306,ZCTA5 62471,6595,38.9546,19,38,19,"list(c(-89.245746, -89.213061, -89.216895, -89.195336, -89.156725, -89.165954, -89.171009, -89.128532, -89.034123, -88.953016, -88.957755, -89.007088, -89.006785, -89.065906, -89.080268, -89.176054, -89.235625, -89.245746, 39.029948, 38.964642, 38.878792, 38.825813, 38.824751, 38.825486, 38.856217, 38.91158, 38.91031, 38.867827, 38.911199, 38.923112, 38.971248, 38.997958, 39.027184, 39.057252, 39.068073, 39.029948))"
62476,il,1484,74.1,-88.00935,ZCTA5 62476,2201,38.53406,27,47,20,"list(c(-88.147783, -88.148074, -88.024097, -87.948626, -87.930122, -87.873377, -87.864671, -87.91008, -87.929101, -88.096857, -88.147794, -88.147783, 38.533978, 38.496773, 38.501523, 38.474759, 38.504032, 38.503871, 38.569875, 38.584597, 38.570002, 38.56945, 38.562129, 38.533978))"
61468,il,193,100,-90.38778,ZCTA5 61468,76,41.25774,13,26,13,"list(c(-90.377872, -90.397336, -90.384834, -90.377872, 41.250697, 41.24534, 41.245264, 41.250697))"
62519,il,54,100,-89.39531,ZCTA5 62519,86,39.9288,18,36,18,"list(c(-89.405388, -89.404969, -89.385886, -89.386023, -89.405388, 39.939397, 39.932717, 39.917963, 39.940072, 39.939397))"
