geoid,state_abbr,population,change_perc_above_100,lon,name,count_prop,lat,days_above_100_today,days_above_100_30yrs,change_days_above_100,geometry
19943,de,12581,100,-75.60882,ZCTA5 19943,8022,39.0058,12,24,12,"list(c(-75.7397385692564, -75.7358875572016, -75.7346077439486, -75.681226, -75.564566, -75.485678, -75.474084, -75.507617, -75.548439, -75.562796, -75.563102, -75.566602, -75.592778, -75.645039, -75.7397385692564, 39.0436320527116, 38.995365263985, 38.9793246816626, 38.989012, 38.953253, 38.974515, 38.988831, 39.043525, 39.070761, 39.076293, 39.072724, 39.069332, 39.052506, 39.031144, 39.0436320527116))"
08738,nj,1422,150,-74.05814,ZCTA5 08738,3131,40.02371,2,5,3,"list(c(-74.051573, -74.086735, -74.0589108874418, -74.0454831933769, -74.051573, 40.059015, 40.008035, 40.0012764624736, 40.0577585658976, 40.059015))"
07718,nj,6901,200,-74.0851,ZCTA5 07718,2494,40.42058,2,6,4,"list(c(-74.096924, -74.082985, -74.074384, -74.0811116508857, -74.096924, 40.422366, 40.406508, 40.417337, 40.4356528200977, 40.422366))"
08302,nj,47358,110,-75.26088,ZCTA5 08302,18442,39.43949,10,21,11,"list(c(-75.349604, -75.341044, -75.411189, -75.335594, -75.309545, -75.3572979091989, -75.2780220626555, -75.267169, -75.17941, -75.140519, -75.102874, -75.207186, -75.257065, -75.325944, -75.339135, -75.349604, 39.534776, 39.492953, 39.420423, 39.432743, 39.415265, 39.3440582802589, 39.3052363183179, 39.345367, 39.368316, 39.46437, 39.470113, 39.539479, 39.526651, 39.558489, 39.558651, 39.534776))"
08880,nj,4818,90,-74.52773,ZCTA5 08880,1505,40.55357,10,19,9,"list(c(-74.526685, -74.543444, -74.515872, -74.519843, -74.526685, 40.559474, 40.554779, 40.544984, 40.555584, 40.559474))"
08006,nj,427,150,-74.10666,ZCTA5 08006,1335,39.75275,2,5,3,"list(c(-74.104381, -74.1148344406149, -74.0996128840792, -74.104381, 39.766982, 39.7389042865855, 39.7637801015972, 39.766982))"
15301,pa,49802,166.7,-80.25282,ZCTA5 15301,22657,40.16204,3,8,5,"list(c(-80.355712, -80.359361, -80.339599, -80.340805, -80.25457, -80.148661, -80.137926, -80.134005, -80.163397, -80.20704, -80.214969, -80.21821, -80.221556, -80.266512, -80.355712, 40.252043, 40.204512, 40.167045, 40.092235, 40.07542, 40.10077, 40.126267, 40.165079, 40.214657, 40.238089, 40.222701, 40.22355, 40.251293, 40.282151, 40.252043))"
16101,pa,31267,200,-80.28712,ZCTA5 16101,20841,40.98531,3,9,6,"list(c(-80.402911, -80.413385, -80.364088, -80.350704, -80.312982, -80.277508, -80.265682, -80.226626, -80.17772, -80.223506, -80.26672, -80.353257, -80.402911, 41.036863, 40.996504, 40.938488, 40.938072, 40.94003, 40.897253, 40.943085, 40.960666, 41.011342, 41.047817, 41.060729, 41.012803, 41.036863))"
15601,pa,56589,166.7,-79.53554,ZCTA5 15601,26322,40.31518,3,8,5,"list(c(-79.648547, -79.656608, -79.591203, -79.563127, -79.549955, -79.49533, -79.491507, -79.47634, -79.473225, -79.463541, -79.463611, -79.488695, -79.490086, -79.46822, -79.459371, -79.461262, -79.476452, -79.503335, -79.516822, -79.517103, -79.554491, -79.585008, -79.594544, -79.648547, 40.293419, 40.276466, 40.244259, 40.23463, 40.223173, 40.21981, 40.217995, 40.22451, 40.242782, 40.249994, 40.338443, 40.327258, 40.328897, 40.347486, 40.35554, 40.358699, 40.36212, 40.381359, 40.450009, 40.450345, 
40.425603, 40.389265, 40.31481, 40.293419))"
19003,pa,14146,91.7,-75.29893,ZCTA5 19003,4746,40.00155,12,23,11,"list(c(-75.286802, -75.323636, -75.288282, -75.286802, 40.018258, 39.993907, 39.992799, 40.018258))"
17343,pa,124,100,-77.33397,ZCTA5 17343,85,39.87036,9,18,9,"list(c(-77.338264, -77.33899, -77.312173, -77.318761, -77.338264, 39.877507, 39.867445, 39.864328, 39.867343, 39.877507))"
15420,pa,294,175,-79.86523,ZCTA5 15420,210,39.96014,4,11,7,"list(c(-79.87317, -79.863838, -79.858571, -79.87317, 39.959165, 39.954542, 39.962881, 39.959165))"
16054,pa,344,200,-79.65737,ZCTA5 16054,318,41.15702,2,6,4,"list(c(-79.673943, -79.673652, -79.659922, -79.636855, -79.673943, 41.162987, 41.148067, 41.149289, 41.153951, 41.162987))"
08053,nj,46775,73.3,-74.89466,ZCTA5 08053,18404,39.8605,15,26,11,"list(c(-74.957313, -74.927211, -74.908307, -74.902368, -74.889755, -74.863384, -74.862601, -74.957313, 39.914345, 39.873758, 39.809738, 39.791041, 39.781973, 39.785634, 39.919832, 39.914345))"
08852,nj,18480,88.9,-74.54816,ZCTA5 08852,5643,40.38791,9,17,8,"list(c(-74.578564, -74.589344, -74.560684, -74.51784, -74.504435, -74.477483, -74.520085, -74.578564, 40.395147, 40.358089, 40.358773, 40.371782, 40.393022, 40.403734, 40.428364, 40.395147))"
08312,nj,8310,84.6,-75.08026,ZCTA5 08312,3143,39.6613,13,24,11,"list(c(-75.121026, -75.100316, -75.042279, -75.068943, -75.121026, 39.662073, 39.640589, 39.669897, 39.678202, 39.662073))"
19127,pa,5522,76.9,-75.22701,ZCTA5 19127,2770,40.02814,13,23,10,"list(c(-75.206903, -75.251298, -75.228149, -75.208008, -75.206903, 40.014958, 40.043505, 40.026031, 40.012997, 40.014958))"
