fips,name,count_property,count_firefactor1,count_firefactor2,count_firefactor3,count_firefactor4,count_firefactor5,count_firefactor6,count_firefactor7,count_firefactor8,count_firefactor9,count_firefactor10
01,Alabama,3041645,379267,429586,1159361,720388,276928,60432,12651,2426,424,182
04,Arizona,3312010,843879,194456,349947,324992,366033,335386,353876,317641,104792,121008
05,Arkansas,2009228,380344,267003,558963,425294,237787,93468,34164,11149,985,71
06,California,11422746,3207511,565780,1659978,1368900,1048936,750279,746626,869542,431040,716053
08,Colorado,2517292,507782,140658,293463,225374,237593,273650,310430,270781,144333,113228
09,Connecticut,1162656,621845,380020,154287,6372,132,0,0,0,0,0
10,Delaware,428859,352990,61763,13429,613,64,0,0,0,0,0
11,District of Columbia,136963,118343,8982,9168,462,8,0,0,0,0,0
12,Florida,9198415,3285102,671030,1886222,1294318,693920,329968,210151,128401,42310,79006
13,Georgia,4455881,707283,1042424,1502267,611648,288949,158105,96678,39940,6406,2181
16,Idaho,1047769,434500,106979,162691,100285,66547,46342,49242,35367,18618,26734
17,Illinois,5244277,4516661,400398,270344,45579,9482,1465,309,39,0,0
18,Indiana,3550496,2923429,349873,217873,41513,9801,3848,3160,846,110,43
19,Iowa,2440064,1674813,165644,474455,93822,22302,7287,1061,497,145,38
20,Kansas,1622856,536480,118199,316429,209550,151101,102014,81502,66547,16802,14664
21,Kentucky,2138757,1041900,376426,424493,153506,62156,34751,23282,13308,4445,4477
22,Louisiana,2359176,1418820,359941,345822,140356,54777,22221,10309,4795,1299,836
23,Maine,702415,245365,356508,95095,5245,202,0,0,0,0,0
24,Maryland,2197448,1225448,604158,314083,47501,5125,973,154,6,0,0
25,Massachusetts,2178427,1218341,591774,344133,22488,1679,12,0,0,0,0
26,Michigan,4704291,3143128,980028,438872,97905,31601,9339,2669,620,78,51
27,Minnesota,2992027,1646833,454870,509553,212696,85343,41258,24856,12341,2826,1451
28,Mississippi,1931440,329578,262147,572376,439733,205432,75671,32951,10114,1695,1743
29,Missouri,3223900,1550515,495940,658870,325571,142162,39910,9877,1002,52,1
30,Montana,899557,113122,79824,196655,154458,105044,74059,67788,54201,24542,29252
31,Nebraska,1150099,676620,87743,163215,103743,62974,31897,17386,4324,2080,117
32,Nevada,1212856,478288,56830,131499,151836,124806,70082,75177,63079,23556,37028
33,New Hampshire,591974,255354,268670,65578,2284,88,0,0,0,0,0
34,New Jersey,3437516,1773634,488502,702908,251213,105213,47644,30701,14440,8456,14805
35,New Mexico,1496419,208800,330228,356375,247216,101759,76454,73453,41876,19655,40603
36,New York,5392713,2390667,1219922,1398164,247933,71606,30310,25718,7657,546,190
37,North Carolina,5521472,867163,911066,2010397,1007103,415569,184270,93400,27824,3068,1611
38,North Dakota,688263,352001,59026,145943,67891,32829,12207,8123,6640,1491,2109
39,Ohio,6090889,4735384,1023695,250413,53115,17889,6243,2957,1078,114,1
40,Oklahoma,2259475,427027,60315,347379,442302,395171,220084,168749,119151,40627,38670
41,Oregon,1810008,603138,382947,303333,200814,125131,61927,45846,47407,20077,19388
42,Pennsylvania,5733234,3551399,1477204,573764,108539,18747,3125,429,26,1,0
44,Rhode Island,383811,276276,68993,34053,4266,223,0,0,0,0,0
45,South Carolina,2662675,379369,386306,1158216,517658,161041,44585,13194,2266,39,1
46,South Dakota,689940,233741,57410,126190,94932,59463,45671,45049,20144,2566,4774
47,Tennessee,3324406,1075951,859615,844657,341316,125006,43704,22057,9705,1818,577
48,Texas,12392049,3593295,1018742,2228709,1861890,1505350,945174,563651,327640,140208,206020
49,Utah,1396242,463913,116049,280572,219099,150041,80851,40473,25928,9137,10117
50,Vermont,312513,191227,119646,1638,2,0,0,0,0,0,0
51,Virginia,3854109,1376391,776975,962040,446303,204960,66568,17369,3093,319,91
53,Washington,3081709,1474148,636038,468130,179130,92247,61712,46134,46211,23069,54890
54,West Virginia,1363474,192941,250210,428469,250853,135866,62235,29004,10686,1938,1272
55,Wisconsin,3375634,1679241,906339,602376,148591,30903,5894,1841,432,16,1
56,Wyoming,339264,14137,10421,35335,45312,50349,45902,47773,55425,12849,21761
