fips,name,count_property,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
0101,Alabama Congressional District 1,431390,334485,3685,6705,4417,6455,12765,12588,17904,23260,9126
0102,Alabama Congressional District 2,442124,387679,1918,4195,2577,4577,7148,6322,10013,13408,4287
0103,Alabama Congressional District 3,470467,396603,2366,4939,3075,5661,8619,9370,14788,18789,6257
0104,Alabama Congressional District 4,503319,429591,1947,4822,3488,5306,8335,7937,12389,19253,10251
0105,Alabama Congressional District 5,371169,306564,2240,5790,3944,6521,9294,9285,11872,11610,4049
0106,Alabama Congressional District 6,364522,309358,1195,3385,2638,3991,6696,6918,10565,13954,5822
0107,Alabama Congressional District 7,430159,343634,2831,6319,4793,7984,12262,11100,15388,19692,6156
0200,Alaska Congressional District (at Large),354927,283980,2991,5432,5893,6643,12716,9280,9993,11729,6270
0501,Arkansas Congressional District 1,544788,444298,4194,11390,7514,11053,15541,11970,15008,16394,7426
0502,Arkansas Congressional District 2,411240,358727,1897,5167,3569,4712,9397,7696,8123,9099,2853
0503,Arkansas Congressional District 3,422192,390293,504,2616,1824,2262,4588,3450,5095,7826,3734
0504,Arkansas Congressional District 4,537342,456018,1239,4923,3846,5479,8793,8707,16059,24093,8185
0401,Arizona Congressional District 1,482470,395665,8841,13979,10618,13576,11071,8564,9592,8389,2175
0402,Arizona Congressional District 2,372405,327167,3734,8193,4746,6796,7085,5414,4732,3224,1314
0403,Arizona Congressional District 3,319654,283810,2016,5932,4456,6467,7487,3160,2698,2669,959
0404,Arizona Congressional District 4,635115,530373,6961,17037,9722,13319,17832,12614,12389,10993,3875
0405,Arizona Congressional District 5,325928,242253,26213,29281,12079,7843,5650,1943,562,104,0
0406,Arizona Congressional District 6,314097,275753,8282,8797,3283,4256,5525,3546,2837,1610,208
0407,Arizona Congressional District 7,205486,184579,4471,8869,2348,1772,2109,679,386,253,20
0408,Arizona Congressional District 8,334169,294346,8396,9378,5651,6376,4671,2675,1678,949,49
0409,Arizona Congressional District 9,235566,217027,4076,5285,2822,1897,2543,969,556,301,90
0601,California Congressional District 1,451485,349439,4448,9385,8961,14901,20068,10016,12576,14231,7460
0602,California Congressional District 2,346626,274922,1943,4538,3909,5977,8832,7334,8986,12678,17507
0603,California Congressional District 3,288950,163639,5821,10168,10859,23426,40974,12898,9289,8979,2897
0604,California Congressional District 4,446003,401989,1576,4374,3340,3866,6925,5147,6715,7962,4109
0605,California Congressional District 5,254916,190721,6707,8439,6163,9124,10118,7780,7174,6294,2396
0606,California Congressional District 6,213693,63026,3793,10037,18404,37235,57823,17884,3485,1649,357
0607,California Congressional District 7,241493,196474,4312,8751,5375,6153,13147,3726,2326,1059,170
0608,California Congressional District 8,476417,411827,4083,10978,7216,7717,13550,7437,5950,5076,2583
0609,California Congressional District 9,244093,101027,10980,22849,35221,36011,26310,3769,6184,1648,94
0610,California Congressional District 10,230329,156480,11249,14968,12599,18040,10630,4632,961,599,171
0611,California Congressional District 11,232396,180375,3476,7150,6661,7301,12042,5278,4825,4029,1259
0612,California Congressional District 12,130862,119620,317,1339,1108,1220,2633,1456,1778,1172,219
0613,California Congressional District 13,176671,147871,1832,4422,2820,3849,6030,3426,3150,2573,698
0614,California Congressional District 14,184353,140864,997,2589,1915,2807,8578,8900,5027,4936,7740
0615,California Congressional District 15,204838,146964,4525,9832,8023,12379,10316,5068,4334,2757,640
0616,California Congressional District 16,210278,95727,10095,18294,19613,30543,26931,4914,2762,1350,49
0617,California Congressional District 17,181384,123641,4344,9045,6708,9137,14473,6977,4312,1864,883
0618,California Congressional District 18,222825,160773,4069,8540,5010,7533,12923,6837,7088,5871,4181
0619,California Congressional District 19,176878,114644,5681,10951,6832,7761,14643,7362,6508,1986,510
0620,California Congressional District 20,213336,182197,1832,4467,3148,3653,6712,3530,3066,2887,1844
0621,California Congressional District 21,220450,185132,6177,8106,5750,5688,6280,2082,748,396,91
0622,California Congressional District 22,245753,167381,14182,17428,10373,16023,14763,4007,1026,520,50
0623,California Congressional District 23,394180,324864,7733,17678,14173,8808,11027,3592,2415,2578,1312
0624,California Congressional District 24,264676,226504,1521,3744,2273,2979,5270,4934,5520,6621,5310
0625,California Congressional District 25,265695,214700,5225,8971,4692,7487,9441,5536,4587,3652,1404
0626,California Congressional District 26,212601,169127,2107,4385,2307,3676,8786,6606,7018,6557,2032
0627,California Congressional District 27,175537,139472,2932,5097,2976,5534,7315,4183,4178,2772,1078
0628,California Congressional District 28,149033,116955,1322,3931,2375,3660,6656,4074,3918,4014,2128
0629,California Congressional District 29,107809,70953,3413,5963,3472,6228,12236,3492,1177,696,179
0630,California Congressional District 30,165682,124909,4762,8080,4857,6108,8455,3759,2181,1953,618
0631,California Congressional District 31,198743,151795,3923,7272,3036,5461,9369,6128,6508,4543,708
0632,California Congressional District 32,151803,103402,4395,7909,3849,7110,13191,5243,4392,1843,469
0633,California Congressional District 33,181422,150806,1034,2590,1644,3013,6521,3845,3814,4431,3724
0634,California Congressional District 34,88136,73565,674,1888,985,1674,4113,2103,1806,1085,243
