fips,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
01001020100,941,0,0,0,0,0,941,0,0,0,0
01001020200,1131,0,0,0,0,0,1131,0,0,0,0
01001020300,1482,0,0,0,0,0,1482,0,0,0,0
01001020400,1887,0,0,0,0,0,1866,0,21,0,0
01001020501,1596,0,0,0,0,0,1520,0,76,0,0
01001020502,895,0,0,0,0,0,895,0,0,0,0
01001020503,973,0,0,0,0,0,973,0,0,0,0
01001020600,1556,0,0,0,0,0,1537,0,19,0,0
01001020700,1536,0,0,0,0,0,1383,0,153,0,0
01001020801,1660,0,0,0,0,0,1518,17,125,0,0
01001020803,2539,0,0,0,0,0,2394,32,113,0,0
01001020804,2180,0,0,0,0,0,2148,0,32,0,0
01001020805,1428,0,0,0,0,0,1428,0,0,0,0
01001020901,1900,0,0,0,0,0,1872,2,26,0,0
01001020902,2219,0,0,0,0,0,2073,10,136,0,0
01001021000,2813,0,0,0,0,0,2736,4,73,0,0
01001021100,3374,0,0,0,0,0,2899,35,440,0,0
01003010100,4855,0,0,0,0,0,0,0,4600,255,0
01003010200,2331,0,0,0,0,0,0,0,2047,284,0
01003010300,5402,0,0,0,0,0,0,0,3156,2246,0
01003010400,4741,0,0,0,0,0,0,0,1506,3235,0
01003010500,2656,0,0,0,0,0,0,0,1134,1522,0
01003010600,1603,0,0,0,0,0,0,0,616,987,0
01003010704,2887,0,0,0,0,0,0,0,0,2887,0
01003010706,2087,0,0,0,0,0,0,0,0,2087,0
01003010707,2290,0,0,0,0,0,0,0,60,2222,8
01003010708,5090,0,0,0,0,0,0,0,157,4933,0
01003010709,5832,0,0,0,0,0,0,0,0,5824,8
01003010710,2805,0,0,0,0,0,0,0,0,2805,0
01003010711,1881,0,0,0,0,0,0,0,0,1881,0
01003010800,3938,0,0,0,0,0,0,0,0,3938,0
01003010903,3064,0,0,0,0,0,0,0,0,3064,0
01003010904,4736,0,0,0,0,0,0,0,130,4606,0
01003010906,2130,0,0,0,0,0,0,0,45,2085,0
01003010907,2110,0,0,0,0,0,0,0,0,2110,0
01003010908,2852,0,0,0,0,0,0,0,0,2852,0
01003011000,3744,0,0,0,0,0,0,0,0,3744,0
01003011102,2884,0,0,0,0,0,0,0,0,2720,164
01003011103,1868,0,0,0,0,0,0,0,0,1868,0
01003011104,3769,0,0,0,0,0,0,0,0,3768,1
01003011201,2355,0,0,0,0,0,0,0,0,2352,3
01003011202,4039,0,0,0,0,0,0,0,0,4022,17
01003011300,3965,0,0,0,0,0,0,0,0,3328,637
01003011409,3163,0,0,0,0,0,0,0,0,3056,107
01003011410,4992,0,0,0,0,0,0,0,0,4401,591
01003011411,2669,0,0,0,0,0,0,0,0,2332,337
01003011412,2128,0,0,0,0,0,0,0,0,2018,110
01003011413,2195,0,0,0,0,0,0,0,0,2043,152
01003011414,3160,0,0,0,0,0,0,0,0,2656,504
01003011415,2372,0,0,0,0,0,0,0,0,1689,683
01003011416,2708,0,0,0,0,0,0,0,0,1268,1440
01003011417,1912,0,0,0,0,0,0,0,0,1839,73
01003011418,1923,0,0,0,0,0,0,0,0,1501,422
01003011419,5888,0,0,0,0,0,0,0,0,4026,1862
01003011501,4226,0,0,0,0,0,0,0,0,4226,0
01003011503,3564,0,0,0,0,0,0,0,0,3383,181
01003011504,3308,0,0,0,0,0,0,0,0,3206,102
01003011601,5449,0,0,0,0,0,0,0,0,5101,348
01003011603,2702,0,0,0,0,0,0,0,0,2552,150
01003011604,2997,0,0,0,0,0,0,0,0,2761,236
01005950100,3259,0,0,0,0,0,1339,31,1889,0,0
01005950200,3346,0,0,0,0,0,341,33,2972,0,0
01005950300,2276,0,0,0,0,0,5,0,2271,0,0
01005950400,3256,0,0,0,0,0,0,0,3256,0,0
01005950500,4738,0,0,0,0,0,0,0,4734,4,0
01005950600,1694,0,0,0,0,0,20,17,1657,0,0
01005950700,1212,0,0,0,0,0,101,11,1100,0,0
01005950800,1389,0,0,0,0,0,65,0,1324,0,0
01005950900,2065,0,0,0,0,0,0,0,2054,11,0
01007010001,2202,0,0,0,0,0,2202,0,0,0,0
01007010005,2521,0,0,0,0,0,2521,0,0,0,0
01007010006,1154,0,0,0,0,0,1154,0,0,0,0
01007010007,2229,0,0,0,0,0,2223,1,5,0,0
01007010008,2436,0,0,0,0,0,2435,1,0,0,0
01007010009,1312,0,0,0,0,0,1309,0,3,0,0
01007010010,1397,0,0,0,0,0,1396,1,0,0,0
01007010011,1715,0,0,0,0,0,1714,0,1,0,0
01009050103,1310,0,0,0,1234,47,29,0,0,0,0
01009050104,1677,0,0,0,1618,42,17,0,0,0,0
01009050105,3592,0,0,0,3354,152,86,0,0,0,0
01009050106,1782,0,0,0,1769,12,1,0,0,0,0
01009050107,3323,0,0,0,2842,392,89,0,0,0,0
01009050200,2715,0,0,0,1971,340,404,0,0,0,0
01009050301,2190,0,0,0,1379,531,280,0,0,0,0
01009050302,2028,0,0,0,1462,449,117,0,0,0,0
01009050400,3938,0,0,0,2638,656,644,0,0,0,0
01009050501,3009,0,0,0,2610,182,217,0,0,0,0
01009050502,2361,0,0,0,1989,211,161,0,0,0,0
01009050601,2689,0,0,0,2434,110,145,0,0,0,0
01009050603,2568,0,0,0,2314,111,143,0,0,0,0
01009050604,3658,0,0,0,3383,149,126,0,0,0,0
01009050701,4007,0,0,0,3737,183,87,0,0,0,0
01009050702,2262,0,0,0,1959,166,137,0,0,0,0
01011952100,1871,0,0,0,0,0,1208,135,528,0,0
01011952201,1851,0,0,0,0,0,1124,10,717,0,0
01011952202,2072,0,0,0,0,0,1664,24,384,0,0
01011952500,3714,0,0,0,0,0,1178,349,2187,0,0
01013952700,1554,0,0,0,0,0,0,0,1554,0,0
01013952800,941,0,0,0,0,0,0,0,941,0,0
01013952900,1463,0,0,0,0,0,0,0,1463,0,0
01013953000,2069,0,0,0,0,0,0,0,2069,0,0
01013953100,1558,0,0,0,0,0,0,0,1558,0,0
01013953200,4114,0,0,0,0,0,0,0,4114,0,0
01013953300,2414,0,0,0,0,0,0,0,2414,0,0
01013953400,3064,0,0,0,0,0,0,0,3064,0,0
01013953500,1725,0,0,0,0,0,0,0,1725,0,0
01015000200,1818,0,0,0,651,587,580,0,0,0,0
01015000300,1793,0,0,0,1670,123,0,0,0,0,0
01015000400,2220,0,0,0,1717,429,74,0,0,0,0
01015000500,1748,0,0,0,1218,521,9,0,0,0,0
01015000600,1411,0,0,0,1115,271,25,0,0,0,0
01015000700,1850,0,0,0,1716,113,21,0,0,0,0
01015000800,1597,0,0,0,966,441,190,0,0,0,0
01015000900,2112,0,0,0,1428,296,388,0,0,0,0
01015001000,2763,0,0,0,1202,1038,523,0,0,0,0
01015001101,1238,0,0,0,743,152,343,0,0,0,0
01015001102,746,0,0,0,468,268,10,0,0,0,0
01015001103,2009,0,0,0,388,994,627,0,0,0,0
01015001201,2068,0,0,0,1239,644,185,0,0,0,0
01015001202,2187,0,0,0,743,1019,425,0,0,0,0
01015001300,1462,0,0,0,859,515,88,0,0,0,0
01015001400,2478,0,0,0,1921,238,319,0,0,0,0
01015001501,2109,0,0,0,1296,389,424,0,0,0,0
01015001502,1063,0,0,0,703,170,190,0,0,0,0
01015001600,2310,0,0,0,2031,270,9,0,0,0,0
01015001700,3181,0,0,0,2134,842,205,0,0,0,0
01015001801,1426,0,0,0,1424,2,0,0,0,0,0
01015001802,2453,0,0,0,1790,506,157,0,0,0,0
01015002001,2040,0,0,0,1595,185,260,0,0,0,0
01015002002,2687,0,0,0,2374,135,178,0,0,0,0
01015002101,801,0,0,0,790,8,3,0,0,0,0
01015002102,1969,0,0,0,1964,5,0,0,0,0,0
01015002104,1779,0,0,0,1676,53,50,0,0,0,0
01015002105,1150,0,0,0,1150,0,0,0,0,0,0
01015002200,2820,0,0,0,2426,216,178,0,0,0,0
01015002300,3092,0,0,0,2953,105,34,0,0,0,0
01015002400,2986,0,0,0,2895,65,26,0,0,0,0
01015002502,3379,0,0,0,3187,139,53,0,0,0,0
01015002503,2292,0,0,0,1411,320,561,0,0,0,0
01015002504,1821,0,0,0,1291,161,369,0,0,0,0
01015002600,4053,0,0,0,3586,223,244,0,0,0,0
